model,accuracy,macro_f1,weighted_f1,macro_auc,parameters,inference_ms_sample,f1_N,precision_N,recall_N,auc_N,f1_S,precision_S,recall_S,auc_S,f1_V,precision_V,recall_V,auc_V,f1_F,precision_F,recall_F,auc_F,f1_Q,precision_Q,recall_Q,auc_Q
CNN_MLP,0.98,0.9019,0.9809,0.9965,175973,0.3664,0.9889,0.9955,0.9823,0.9976,0.8111,0.7308,0.9113,0.9928,0.9577,0.9444,0.9714,0.9992,0.7589,0.6646,0.8843,0.993,0.993,0.9901,0.9959,0.9998
CNN_KAN,0.9476,0.8167,0.954,0.9924,285280,0.6308,0.969,0.9967,0.9428,0.9959,0.5968,0.4382,0.9353,0.9829,0.907,0.8513,0.9705,0.9979,0.627,0.5051,0.8264,0.9858,0.9836,0.9709,0.9967,0.9996
